Du ser nu i overensstemmelse med dit produkts omfang de første 5.000 svar. Dog skal det oplyses, at der foreligger flere svar. Ved hjælp af en produkt-opgradering kan der efter betalingsindgang opnås adgang til alle svar.  Respondenternes svar bliver altid gemt, også i tilfælde hvor det maksimale antal svar er opnået.";
"";
"_Svar-ID";"Resume-Code";"Start";"Dato og tid";"Deltagerstatus";"1. Hvor gammel er du?";"2. Er du mand eller kvinde?";"3. Hvilken form for by bor du i?";"4. Hvad er din civil status?";"5. Har du hjemmeboende børn?";"6. Har du bil?";"7. Har du en cykel?";"8. Hvilken form for transport bruger du mest når du skal rundt i egen by?";"9. Hvilken form for transport bruger du mest når du skal ud for egen by?";"10. Hvor langt har du til arbejde?";"11. Hvilken form for transport bruger du mest til og fra arbejde?";"12. Hvor langt har du til skole?";"13. Hvilken form for transport bruger du mest til og fra skole?";"14. Har parkerings muligheder indflydelse på dit valg af transport?";"15. Hvis det er en solskinsdag - vælg det udsagn der passer bedst";"16. Hvis det er en regnvejrsdag - vælg det udsagn der passer bedst";
"83254315";"352ca8e";"03-05-2021 19:37";"03-05-2021 19:40";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Jeg går/løber";"Bil";"Jeg arbejdeder kun hjemmefra";"Andet";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83254441";"775c739";"03-05-2021 19:42";"03-05-2021 19:43";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"nej";"ja";"ja";"Bus";"Bil";"Mellem 5-15 km";"Bus";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83254452";"b3a63b6";"03-05-2021 19:41";"03-05-2021 19:43";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Ved ikke";"nej";"nej";"ja";"Bus";"Tog";"Mellem 1-5 km";"Jeg går/løber";"Mellem 1-5 km";"Tog";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Ved ikke";
"83254479";"ac56cbe";"03-05-2021 19:43";"03-05-2021 19:44";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"Single";"nej";"nej";"nej";"Bus";"Tog";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83254697";"e18fe3d";"03-05-2021 19:48";"03-05-2021 19:49";"deltaget og afsluttet";"26 - 35";"Mand";"Storby";"I forhold";"nej";"nej";"nej";"Bil";"Bil";"Under 1 km";"Jeg går/løber";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83254721";"db30855";"03-05-2021 19:49";"03-05-2021 19:50";"deltaget og afsluttet";"36 - 45";"Mand";"Storby";"I forhold";"ja";"nej";"ja";"Tog";"Tog";"Mellem 1-5 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83254726";"320a806";"03-05-2021 19:49";"03-05-2021 19:50";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"Single";"ja";"ja";"ja";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83254844";"4c2191e";"03-05-2021 19:51";"03-05-2021 19:53";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83254864";"af01edf";"03-05-2021 19:50";"03-05-2021 19:54";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"Single";"nej";"nej";"ja";"Cykel";"Bus";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ved ikke";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83254893";"99d5cb3";"03-05-2021 19:52";"03-05-2021 19:54";"deltaget og afsluttet";"26 - 35";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Andet";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83254894";"8aefda0";"03-05-2021 19:53";"03-05-2021 19:54";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Under 1 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83255071";"08d6ea8";"03-05-2021 19:57";"03-05-2021 19:58";"deltaget og afsluttet";"36 - 45";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83255080";"b54e51f";"03-05-2021 19:56";"03-05-2021 19:58";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"ja";"ja";"nej";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83255173";"ab9fd4b";"03-05-2021 20:00";"03-05-2021 20:01";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Single";"nej";"nej";"ja";"Cykel";"Tog";"Mellem 5-15 km";"Cykel";"Mellem 5-15 km";"Cykel";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83255382";"35acd2f";"03-05-2021 20:05";"03-05-2021 20:06";"deltaget og afsluttet";"45 - 60";"Kvinde";"Storby";"I forhold";"nej";"ja";"nej";"Bil";"Bil";"Mellem 1-5 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83255490";"6cffd72";"03-05-2021 20:08";"03-05-2021 20:09";"deltaget og afsluttet";"36 - 45";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Cykel";"Mellem 5-15 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83255545";"860221b";"03-05-2021 20:09";"03-05-2021 20:10";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"I forhold";"nej";"nej";"ja";"Bus";"Bus";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83255612";"686873c";"03-05-2021 20:11";"03-05-2021 20:12";"deltaget og afsluttet";"15 - 25";"Kvinde";"Forstad";"Single";"nej";"nej";"ja";"Jeg går/løber";"Bus";"Under 1 km";"Jeg går/løber";"Mellem 15-25 km";"Bus";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83255645";"49c4bb1";"03-05-2021 20:11";"03-05-2021 20:13";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83255772";"7d5e7ad";"03-05-2021 20:15";"03-05-2021 20:16";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83255816";"990b720";"03-05-2021 20:16";"03-05-2021 20:17";"deltaget og afsluttet";"45 - 60";"Mand";"Forstad";"Single";"ja";"ja";"nej";"Bil";"Bil";"Mellem 15-25 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83255828";"578d77d";"03-05-2021 20:15";"03-05-2021 20:18";"deltaget og afsluttet";"45 - 60";"Mand";"Storby";"Single";"nej";"nej";"ja";"Bus";"Tog";"Mellem 5-15 km";"Bus";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83255948";"037f3c5";"03-05-2021 20:19";"03-05-2021 20:21";"deltaget og afsluttet";"Over 60";"Kvinde";"Storby";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83255961";"8c38b13";"03-05-2021 20:20";"03-05-2021 20:21";"deltaget og afsluttet";"26 - 35";"Mand";"Forstad";"Single";"nej";"nej";"ja";"Jeg går/løber";"Bus";"Under 1 km";"Jeg går/løber";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83255991";"a491ffb";"03-05-2021 20:21";"03-05-2021 20:22";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Under 1 km";"Jeg går/løber";"Under 1 km";"Cykel";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83255998";"b5b0a3a";"03-05-2021 20:20";"03-05-2021 20:23";"deltaget og afsluttet";"36 - 45";"Kvinde";"Landet";"I forhold";"ja";"ja";"nej";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Over 40 km";"Bil";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256013";"7d912cd";"03-05-2021 20:22";"03-05-2021 20:23";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Single";"nej";"nej";"nej";"Jeg går/løber";"Tog";"Under 1 km";"Jeg går/løber";"Mellem 1-5 km";"Bus";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256028";"0f2b4ad";"03-05-2021 20:23";"03-05-2021 20:24";"deltaget og afsluttet";"36 - 45";"Kvinde";"Landet";"Single";"ja";"ja";"nej";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256057";"9dee6d8";"03-05-2021 20:24";"03-05-2021 20:24";"deltaget og afsluttet";"45 - 60";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256076";"cdb6f65";"03-05-2021 20:23";"03-05-2021 20:25";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Cykel";"Cykel";"Mellem 5-15 km";"Cykel";"Mellem 5-15 km";"Cykel";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83256091";"2218af2";"03-05-2021 20:24";"03-05-2021 20:25";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256097";"3d37b3b";"03-05-2021 20:24";"03-05-2021 20:25";"deltaget og afsluttet";"15 - 25";"Mand";"Storby";"Single";"nej";"nej";"ja";"Cykel";"Andet";"Under 1 km";"Jeg går/løber";"Mellem 1-5 km";"Cykel";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83256106";"286e7aa";"03-05-2021 20:24";"03-05-2021 20:26";"deltaget og afsluttet";"45 - 60";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83256154";"e7b873b";"03-05-2021 20:25";"03-05-2021 20:27";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Bil";"Over 40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256156";"b718cea";"03-05-2021 20:26";"03-05-2021 20:27";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256158";"b95a712";"03-05-2021 20:25";"03-05-2021 20:27";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256172";"4b8f8ff";"03-05-2021 20:26";"03-05-2021 20:27";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler sjældent også selvom afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83256406";"06d1769";"03-05-2021 20:32";"03-05-2021 20:33";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"I forhold";"nej";"nej";"ja";"Bus";"Tog";"Mellem 1-5 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256411";"ef2b258";"03-05-2021 20:32";"03-05-2021 20:33";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"I forhold";"nej";"ja";"nej";"Bil";"Bil";"Under 1 km";"Jeg går/løber";"Mellem 1-5 km";"Bil";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256451";"ef0e33c";"03-05-2021 20:34";"03-05-2021 20:34";"deltaget og afsluttet";"15 - 25";"Kvinde";"Landet";"Single";"nej";"nej";"ja";"Bus";"Bus";"Mellem 15-25 km";"Bus";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256510";"0ece76d";"03-05-2021 20:34";"03-05-2021 20:36";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"Single";"nej";"nej";"nej";"Tog";"Tog";"Mellem 1-5 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256519";"1399d54";"03-05-2021 20:35";"03-05-2021 20:36";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"nej";"nej";"ja";"Cykel";"Tog";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83256525";"b35e5eb";"03-05-2021 20:35";"03-05-2021 20:36";"deltaget og afsluttet";"15 - 25";"Kvinde";"Landet";"Single";"nej";"ja";"ja";"Bus";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256529";"aa200af";"03-05-2021 20:35";"03-05-2021 20:37";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256595";"deff142";"03-05-2021 20:37";"03-05-2021 20:39";"deltaget og afsluttet";"26 - 35";"Mand";"Storby";"I forhold";"nej";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83256608";"406e7b0";"03-05-2021 20:37";"03-05-2021 20:39";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Andet";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256611";"cb323d2";"03-05-2021 20:38";"03-05-2021 20:39";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256642";"8d4c07e";"03-05-2021 20:39";"03-05-2021 20:40";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"Single";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
